Hero Name,Number of Master Tier Players
Abaddon,12
Alchemist,13
Ancient Apparition,120
Anti-Mage,23
Arc Warden,81
Axe,122
Bane,12
Batrider,4
Beastmaster,5
Bloodseeker,79
Bounty Hunter,26
Brewmaster,48
Bristleback,63
Broodmother,42
Centaur Warrunner,4
Chaos Knight,37
Chen,22
Clinkz,78
Clockwerk,20
Crystal Maiden,258
Dark Seer,20
Dark Willow,133
Dazzle,33
Death Prophet,13
Disruptor,40
Doom,28
Dragon Knight,16
Drow Ranger,49
Earth Spirit,49
Earthshaker,51
Elder Titan,30
Ember Spirit,128
Enchantress,21
Enigma,64
Faceless Void,55
Grimstroke,10
Gyrocopter,1
Huskar,63
Invoker,1119
Io,110
Jakiro,26
Juggernaut,138
Keeper of the Light,39
Kunkka,163
Legion Commander,102
Leshrac,14
Lich,105
Lifestealer,4
Lina,32
Lion,43
Lone Druid,19
Luna,19
Lycan,8
Magnus,23
Mars,0
Medusa,10
Meepo,138
Mirana,105
Monkey King,79
Morphling,83
Naga Siren,2
Nature's Prophet,41
Necrophos,32
Night Stalker,2
Nyx Assassin,5
Ogre Magi,52
Omniknight,9
Oracle,115
Outworld Devourer,19
Pangolier,83
Phantom Assassin,155
Phantom Lancer,20
Phoenix,311
Puck,17
Pudge,963
Pugna,37
Queen of Pain,26
Razor,3
Riki,242
Rubick,158
Sand King,22
Shadow Demon,11
Shadow Fiend,83
Shadow Shaman,158
Silencer,35
Skywrath Mage,133
Slardar,4
Slark,46
Sniper,81
Spectre,54
Spirit Breaker,46
Storm Spirit,47
Sven,24
Techies,246
Templar Assassin,31
Terrorblade,28
Tidehunter,4
Timbersaw,27
Tinker,354
Tiny,6
Treant Protector,54
Troll Warlord,16
Tusk,17
Underlord,15
Undying,29
Ursa,55
Vengeful Spirit,14
Venomancer,11
Viper,12
Visage,83
Warlock,34
Weaver,44
Windranger,163
Winter Wyvern,24
Witch Doctor,209
Wraith King,59
Zeus,129
